Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),ωx (rad/s),ωy (rad/s),ωz (rad/s),Ax (m/s²),Ay (m/s²),Az (m/s²),ωx (rad/s),ωy (rad/s),ωz (rad/s)
0.009999999776482582,1.0055427551269531,-9.526153564453125,1.0534178018569946,-0.30107975006103516,-4.884466171264648,0.41523927450180054,1.9517537355422974,9.581071853637695,-0.37178531289100647,-0.3998282253742218,0.21272392570972443,-0.19523926079273224
0.019999999552965164,0.8962881565093994,-9.53419017791748,0.9180695414543152,-0.29664427042007446,-4.806845664978027,0.41523927450180054,1.9565242528915405,9.581071853637695,-0.34790971875190735,-0.4075984060764313,0.2171640396118164,-0.20078939199447632
0.029999999329447746,0.7547707557678223,-9.60438346862793,0.842289388179779,-0.29302236437797546,-4.6820478439331055,0.41523927450180054,1.9518150091171265,9.581071853637695,-0.37147849798202515,-0.4010563790798187,0.21342572569847107,-0.19611650705337524
0.03999999910593033,0.6224569082260132,-9.68095588684082,0.8096277713775635,-0.2875370681285858,-4.569250106811523,0.4162300229072571,1.9564833641052246,9.581071853637695,-0.3481142520904541,-0.4067796468734741,0.21669617295265198,-0.20020456612110138
0.05000000074505806,0.5378974080085754,-9.731769561767578,0.8024643063545227,-0.2891508638858795,-4.419402599334717,0.42578309774398804,1.923600673675537,9.624095916748047,-0.267571359872818,-0.44393110275268555,0.24473462998867035,-0.13221555948257446
0.05999999865889549,0.4868847131729126,-9.771465301513672,0.8560420274734497,-0.2926546633243561,-4.186095714569092,0.44967907667160034,1.9041303396224976,9.663106918334961,-0.21889972686767578,-0.4086099863052368,0.24270160496234894,-0.08341779559850693
0.07000000029802322,0.491781085729599,-9.705296516418457,0.9349958300590515,-0.29127711057662964,-3.842559576034546,0.4874720871448517,1.8662930727005005,9.664102554321289,-0.2877650260925293,-0.309068888425827,0.20578640699386597,-0.046376362442970276
0.07999999821186066,0.5493215322494507,-9.696784019470215,1.0139497518539429,-0.2877733111381531,-3.335813522338867,0.5468709468841553,1.860500693321228,9.640511512756348,-0.27130326628685,-0.19642286002635956,0.165119007229805,-0.00822490081191063
0.09000000357627869,0.6279447674751282,-9.659564971923828,1.0780930519104004,-0.26827460527420044,-2.6021604537963867,0.5935251116752625,1.8649647235870361,9.602102279663086,-0.26601678133010864,-0.06019122153520584,0.08008293807506561,0.016323084011673927
0.10000000149011612,0.7281145453453064,-9.6472749710083,1.085611343383789,-0.2130899876356125,-1.6957038640975952,0.5881498456001282,1.8835768699645996,9.595932006835938,-0.2704441547393799,0.038300078362226486,0.016531139612197876,0.023165645077824593
0.10999999940395355,0.829328715801239,-9.617018699645996,1.0662167072296143,-0.11870063096284866,-0.7552792429924011,0.5196148157119751,1.9119138717651367,9.646940231323242,-0.3303320109844208,0.06520245224237442,0.006588958203792572,0.023165645077824593
0.11999999731779099,0.8971104621887207,-9.564554214477539,0.989376425743103,0.006508328020572662,0.1421164870262146,0.3428593575954437,1.9132626056671143,9.649450302124023,-0.3332570791244507,0.07255515456199646,0.004488187376409769,0.01423736847937107
0.12999999523162842,0.9234325289726257,-9.526738166809082,0.9024317860603333,0.10946637392044067,0.7169715166091919,0.12608273327350616,1.8859882354736328,9.64483642578125,-0.19675372540950775,0.08611404150724411,0.008681622333824635,0.0023067486472427845
0.14000000059604645,0.9266864657402039,-9.49531078338623,0.8152565956115723,0.1390109360218048,0.7916872501373291,0.009343438781797886,1.875343680381775,9.617003440856934,-0.16612796485424042,0.0954621210694313,0.025801051408052444,0.0027149745728820562
0.15000000596046448,0.876359760761261,-9.493894577026367,0.7571057677268982,0.12795235216617584,0.7852685451507568,-0.07625661045312881,1.8747714757919312,9.61526107788086,-0.1646961122751236,0.1002635583281517,0.039712000638246536,0.004233227577060461
0.1599999964237213,0.7845755219459534,-9.519664764404297,0.7406629323959351,0.08642853051424026,0.7887723445892334,-0.15563367307186127,1.8702870607376099,9.619812965393066,-0.2006060779094696,0.0952947810292244,0.04643527790904045,0.006861507426947355
