Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),ωx (rad/s),ωy (rad/s),ωz (rad/s),Ax (m/s²),Ay (m/s²),Az (m/s²),ωx (rad/s),ωy (rad/s),ωz (rad/s)
0.009999999776482582,-1.2167361974716187,9.717399597167969,0.19916725158691406,-0.30476072430610657,-4.889374256134033,0.41523927450180054,-1.3584848642349243,9.688523292541504,-0.126167893409729,-0.4096441864967346,0.21272392570972443,-0.20750920474529266
0.019999999552965164,-1.193981647491455,9.692864418029785,0.19404129683971405,-0.30252113938331604,-4.816586971282959,0.4141194820404053,-1.3300669193267822,9.678908348083496,-0.11668609827756882,-0.41857194900512695,0.21941974759101868,-0.18630576133728027
0.029999999329447746,-1.2070832252502441,9.673070907592773,0.1829657256603241,-0.2980419397354126,-4.71152925491333,0.42360809445381165,-1.3014237880706787,9.659675598144531,-0.18708576261997223,-0.4343065619468689,0.2349323183298111,-0.1492011547088623
0.03999999910593033,-1.1997779607772827,9.654519081115723,0.15632842481136322,-0.29233574867248535,-4.613702774047852,0.44024428725242615,-1.2821030616760254,9.649755477905273,-0.2914229929447174,-0.4366380274295807,0.2412835955619812,-0.10752739012241364
0.05000000074505806,-1.2136740684509277,9.654231071472168,0.15815962851047516,-0.28742775321006775,-4.48104190826416,0.45017316937446594,-1.276878833770752,9.649450302124023,-0.4058055281639099,-0.3891662061214447,0.2307785451412201,-0.06630345433950424
0.05999999865889549,-1.1856557130813599,9.693198204040527,0.1397370845079422,-0.28182879090309143,-4.283193588256836,0.4638194143772125,-1.2858636379241943,9.672728538513184,-0.48376360535621643,-0.29483506083488464,0.19526654481887817,-0.036028675734996796
0.07000000029802322,-1.2002882957458496,9.722763061523438,0.16938230395317078,-0.2751099765300751,-3.987539529800415,0.4901471436023712,-1.309057354927063,9.696958541870117,-0.4463924169540405,-0.20030102133750916,0.1380017250776291,-0.012438233941793442
0.07999999821186066,-1.2124710083007812,9.722763061523438,0.21853849291801453,-0.2656749486923218,-3.5447957515716553,0.523848295211792,-1.3284155130386353,9.712030410766602,-0.3762933015823364,-0.09209012240171432,0.024635914713144302,-0.00740392180159688
0.09000000357627869,-1.221657395362854,9.72555923461914,0.21853849291801453,-0.24394509196281433,-2.8864378929138184,0.5240530967712402,-1.4325098991394043,9.694779396057129,-0.3270060122013092,-0.038952287286520004,-0.03940512612462044,-0.014555324800312519
0.10000000149011612,-1.2551219463348389,9.736261367797852,0.22471611201763153,-0.20472723245620728,-2.085019588470459,0.4737004339694977,-1.4802035093307495,9.684401512145996,-0.30142322182655334,-0.026910139247775078,-0.037320576608181,-0.013177109882235527
0.10999999940395355,-1.2408393621444702,9.729034423828125,0.23951299488544464,-0.1463177353143692,-1.2630484104156494,0.3810882568359375,-1.5319652557373047,9.692569732666016,-0.29954490065574646,-0.01636679656803608,-0.02406291849911213,-0.00688709132373333
0.11999999731779099,-1.2493257522583008,9.726615905761719,0.20877933502197266,-0.06191357597708702,-0.47559016942977905,0.21766071021556854,-1.5583115816116333,9.684554100036621,-0.33010149002075195,-0.007506025023758411,-0.013569345697760582,-0.0011292172130197287
0.12999999523162842,-1.2342265844345093,9.755870819091797,0.18909920752048492,0.007184748537838459,-0.025492070242762566,0.07905634492635727,-1.5302989482879639,9.679250717163086,-0.32892942428588867,-0.0004771303210873157,-0.01044539175927639,0.00909254141151905
0.14000000059604645,-1.2368366718292236,9.762017250061035,0.16077041625976562,0.02911367453634739,0.007294123992323875,0.05041627958416939,-1.4625941514968872,9.678755760192871,-0.324150949716568,0.004302594810724258,-0.016396598890423775,0.021079180762171745
0.15000000596046448,-1.2206732034683228,9.751832008361816,0.12083651125431061,0.03130924701690674,-0.011903257109224796,0.041683755815029144,-1.4377191066741943,9.644253730773926,-0.32787755131721497,0.006657044403254986,-0.015584983862936497,0.028467942029237747
0.1599999964237213,-1.2060624361038208,9.746861457824707,0.10445111989974976,0.02111811563372612,-0.0274177435785532,0.027363725006580353,-1.4144126176834106,9.665329933166504,-0.34108594059944153,0.010326541028916836,-0.008894900791347027,0.028961801901459694
