Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),ωx (rad/s),ωy (rad/s),ωz (rad/s),Ax (m/s²),Ay (m/s²),Az (m/s²),ωx (rad/s),ωy (rad/s),ωz (rad/s)
0.009999999776482582,-0.30456775426864624,8.632312774658203,4.8383402824401855,-0.30353373289108276,-4.88692045211792,0.41401228308677673,-0.7089468240737915,9.7275972366333,-0.6414828300476074,-0.4035091996192932,0.21395091712474823,-0.20137423276901245
0.019999999552965164,-0.27966344356536865,8.616735458374023,4.847053527832031,-0.29576724767684937,-4.821459770202637,0.42288827896118164,-0.6945911645889282,9.766457557678223,-0.5744252800941467,-0.41128507256507874,0.215061753988266,-0.20359590649604797
0.029999999329447746,-0.24714840948581696,8.590791702270508,4.831566333770752,-0.2928432822227478,-4.7168073654174805,0.42698046565055847,-0.7088290452957153,9.72791576385498,-0.640932559967041,-0.40472885966300964,0.2141251564025879,-0.20172269642353058
0.03999999910593033,-0.23736928403377533,8.61281681060791,4.803221702575684,-0.29249081015586853,-4.615104675292969,0.4384212791919708,-0.6946696639060974,9.766244888305664,-0.5747921466827393,-0.41047197580337524,0.21494559943675995,-0.2033635824918747
0.05000000074505806,-0.23500819504261017,8.60959243774414,4.734498500823975,-0.2887577414512634,-4.488503932952881,0.44753897190093994,-0.6945126056671143,9.713675498962402,-0.6785699725151062,-0.4336400032043457,0.2423393428325653,-0.1569981724023819
0.05999999865889549,-0.27715274691581726,8.620903968811035,4.636447906494141,-0.2814612090587616,-4.294107437133789,0.4627128541469574,-0.6519168615341187,9.703335762023926,-0.5805252194404602,-0.44559016823768616,0.2595459520816803,-0.11700138449668884
0.07000000029802322,-0.25340744853019714,8.64317798614502,4.584417343139648,-0.2740992307662964,-4.005730152130127,0.48757848143577576,-0.6606496572494507,9.74150562286377,-0.4985610842704773,-0.4074792265892029,0.25072401762008667,-0.08228239417076111
0.07999999821186066,-0.2665138840675354,8.672345161437988,4.599807262420654,-0.26708975434303284,-3.578890085220337,0.517887532711029,-0.6655395030975342,9.732693672180176,-0.4451786279678345,-0.31284651160240173,0.21641825139522552,-0.04950203374028206
0.09000000357627869,-0.3071925938129425,8.67834758758545,4.63097620010376,-0.24541643261909485,-2.9551098346710205,0.5110248923301697,-0.6844186782836914,9.75153923034668,-0.5097993612289429,-0.19758853316307068,0.1696469634771347,-0.021462753415107727
0.10000000149011612,-0.322677880525589,8.676690101623535,4.626371383666992,-0.1991644948720932,-2.182166576385498,0.45081406831741333,-0.6895703077316284,9.752017974853516,-0.5161350965499878,-0.06894175708293915,0.07790280133485794,-0.0035011114086955786
0.10999999940395355,-0.34811729192733765,8.643373489379883,4.609175205230713,-0.1314595341682434,-1.3725173473358154,0.3504449129104614,-0.7177057266235352,9.78044605255127,-0.5536414384841919,0.007817459292709827,0.00400345865637064,-0.0006338977254927158
0.11999999731779099,-0.3344224691390991,8.624323844909668,4.59102201461792,-0.03973807394504547,-0.5832305550575256,0.18807850778102875,-0.7464955449104309,9.800222396850586,-0.5641120076179504,0.011352242901921272,-0.000714259163942188,-0.007008524611592293
0.12999999523162842,-0.2721744179725647,8.60359001159668,4.569523334503174,0.035330187529325485,-0.07529784739017487,0.03749871999025345,-0.7613616585731506,9.74903392791748,-0.6015921235084534,0.004135810304433107,0.011402806267142296,-0.010246239602565765
0.14000000059604645,-0.19365237653255463,8.613316535949707,4.595698833465576,0.04417682811617851,-0.016092391684651375,0.00542331300675869,-0.747987687587738,9.728341102600098,-0.6168524622917175,0.0013840863248333335,0.015177914872765541,-0.006666728761047125
0.15000000596046448,-0.1670108586549759,8.636133193969727,4.624795436859131,0.025054948404431343,-0.02717672660946846,0.00334850512444973,-0.7335927486419678,9.732281684875488,-0.6127831935882568,-0.001411029719747603,0.010908136144280434,0.0002452921471558511
0.1599999964237213,-0.1926354020833969,8.62752914428711,4.640185832977295,0.0007887752144597471,-0.016435522586107254,-0.0025127604603767395,-0.728401780128479,9.732481002807617,-0.6310123205184937,-0.0013889999827370048,-0.0031188465654850006,0.008107933215796947
0.17000000178813934,-0.22500084340572357,8.60359001159668,4.664846897125244,-0.018614817410707474,0.003706402610987425,-0.004164328798651695,-0.7098368406295776,9.746456146240234,-0.6272575259208679,0.00044014217564836144,-0.01618719846010208,0.00921810232102871
0.18000000715255737,-0.23761528730392456,8.589000701904297,4.677074432373047,-0.03410378098487854,0.014032376930117607,-0.004013458266854286,-0.7180984020233154,9.765713691711426,-0.6041337251663208,-0.00405393959954381,-0.022088518366217613,0.0015804324066266418
0.1899999976158142,-0.25173109769821167,8.56087589263916,4.678704261779785,-0.03650035709142685,0.01459580659866333,-0.009854696691036224,-0.7185695767402649,9.752775192260742,-0.602954626083374,-0.007313684560358524,-0.009106950834393501,-0.0034657299984246492
0.20000000298023224,-0.2667243778705597,8.564189910888672,4.681661128997803,-0.02842676267027855,-0.0016555206384509802,-0.01538351271301508,-0.727668821811676,9.738162994384766,-0.6348326802253723,-0.007893802598118782,0.0045929234474897385,-0.011778980493545532
0.20999999344348907,-0.2884864807128906,8.589091300964355,4.676729202270508,-0.02258552424609661,-0.015674492344260216,-0.014215264469385147,-0.6782905459403992,9.723550796508789,-0.6593713760375977,0.001413459307514131,0.012848762795329094,-0.02222578600049019
0.2199999988079071,-0.3076491057872772,8.60893440246582,4.671797275543213,-0.017905857414007187,-0.013431456871330738,-0.009562301449477673,-0.6707435846328735,9.713529586791992,-0.6879137754440308,0.0037512900307774544,0.03272031992673874,-0.021056869998574257
